Energy,,,,,Magnetisation,,
Beta,b,Mean,Error,Thermalisation,Mean,Error,Thermalisation
0.1,0.01,-205.2288,0.051,10,156.7661,0.0811,!!!!
0.3,0.01,-205.2288,0.051,10,720.7546,0.6951,!!!!
0.5,0.01,-8875.2375,0.3768,100,9161.3095,1.7501,70
0.7,0.01,-13838.8204,2.4709,100,9386.7449,127.7027,75
0.9,0.01,-18019.3970,2.5768,60,9049.4680,179.3196,50
1.1,0.01,-22043.2173,3.6038,40,8455.9671,224.0626,50
1.3,0.01,-26034.6432,4.6914,40,7947.4597,265.3931,50
1.5,0.01,-30026.7357,5.398,30,7866.8933,261.2306,70
1.7,0.01,-34017.6027,6.8905,30,7990.5107,251.7684,70
1.9,0.01,-37987.1989,9.4379,20,8038.1568,241.7665,30
2.1,0.01,-41955.7324,12.1261,35,,,
2.3,0.01,-45936.9732,14.4401,40,,,
2.5,0.01,-49907.5674,16.8662,30,,,
2.7,0.01,-53901.3725,17.555,40,,,
2.9,0.01,-57824.1902,21.2446,35,,,
3.1,0.01,-61832.8575,22.3156,45,,,
3.3,0.01,-65834.3661,23.1586,40,,,
3.5,0.01,-69826.3878,24.2562,270,,,
3.7,0.01,-73815.6024,25.4291,100,,,
3.9,0.01,-77799.2196,26.8838,85,,,
4.1,0.01,-81734.1429,30.4064,100,,,
4.3,0.01,-85762.6182,30.0848,50,,,
4.5,0.01,-89744.0797,31.5273,150,,,
4.7,0.01,-93690.5993,34.1408,50,,,
0.1,0.005,-203.88487866666665,0.050935254809630084,10,78.31714514514515,0.08473541323298045,!!!
0.3,0.005,-2118.861825816327,0.12701805853197834,20,361.4178218218218,0.6874395866503207,!!!
0.5,0.005,-8798.682818125,1.0162441082774964,200,9128.470954285714,7.258001450212403,250
0.7,0.005,-13750.917108705882,3.3209489533820244,150,7338.162442352941,275.90079691722366,150
0.9,0.005,-17906.950688210523,4.7658458968974085,50,,,200
1.1,0.005,-21936.080771276596,6.579371267198739,70,,,
